Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
67,Hot Tub Time Machine,MGM,MGM,"$50,269,859 ","$14,020,502 ","2,771"
68,Kick-Ass,Lionsgate,Lionsgate,"$48,071,303 ","$19,828,687 ","3,065"
69,Killers,Lionsgate,Lionsgate,"$47,059,963 ","$15,837,266 ","2,859"
70,Saw 3D,Lionsgate,Lionsgate,"$45,710,178 ","$24,230,123 ","2,808"
71,Cop Out,WarnerBros.,Warner Bros.,"$44,875,481 ","$18,211,126 ","3,150"
72,Cats & Dogs: The Revenge of Kitty Galore,WarnerBros.,Warner Bros.,"$43,585,753 ","$12,279,363 ","3,705"
73,Edge of Darkness,WarnerBros.,Warner Bros.,"$43,313,890 ","$17,214,384 ","3,066"
74,Gullivers Travels,20thCent…,20th Century,"$42,779,261 ","$6,307,691 ","3,089"
75,Death at a Funeral,SonyPict…,Sony Pictures,"$42,739,347 ","$16,217,540 ","2,459"
76,Step Up 3D,WaltDisney,Walt Disney,"$42,400,223 ","$15,812,311 ","2,439"
77,The Last Exorcism,Lionsgate,Lionsgate,"$41,034,350 ","$20,366,613 ","2,874"
78,Legion,SonyPict…,Sony Pictures,"$40,168,080 ","$17,501,625 ","2,476"
79,Burlesque,SonyPict…,Sony Pictures,"$39,440,655 ","$11,947,744 ","3,037"
80,The Crazies,Overture…,Overture Films,"$39,123,589 ","$16,067,552 ","2,479"
81,For Colored Girls,Lionsgate,Lionsgate,"$37,729,698 ","$19,497,324 ","2,127"
82,The Back-up Plan,CBSFilms,CBS Films,"$37,490,007 ","$12,201,710 ","3,280"
83,Vampires Suck,20thCent…,20th Century,"$36,661,504 ","$12,202,831 ","3,233"
84,The American,FocusFea…,Focus Features,"$35,606,376 ","$13,177,790 ","2,833"
85,Green Zone,Universal,Universal Studio,"$35,497,337 ","$14,309,295 ","3,004"
86,Devil,Universal,Universal Studio,"$33,679,655 ","$12,289,375 ","2,811"
87,Marmaduke,20thCent…,20th Century,"$33,644,788 ","$11,599,661 ","3,213"
88,Scott Pilgrim vs. The World,Universal,Universal Studio,"$32,841,100 ","$10,609,795 ","2,820"
89,Hereafter,WarnerBros.,Warner Bros.,"$32,746,941 ","$220,322 ","2,424"
90,When in Rome,WaltDisney,Walt Disney,"$32,680,633 ","$12,350,041 ","2,456"
91,Love and Other Drugs,20thCent…,20th Century,"$32,367,005 ","$9,739,161 ","2,458"
92,Shes Out of My League,Paramount…,Paramount Pictures,"$32,010,860 ","$9,775,278 ","2,958"
93,Charlie St. Cloud,Universal,Universal Studio,"$31,206,263 ","$12,381,585 ","2,725"
94,Morning Glory,Paramount…,Paramount Pictures,"$31,011,732 ","$9,203,266 ","2,544"
95,How Do You Know?,SonyPict…,Sony Pictures,"$30,212,620 ","$7,484,696 ","2,483"
96,Daybreakers,Lionsgate,Lionsgate,"$30,101,577 ","$15,146,692 ","2,523"
97,Nanny McPhee and the Big Bang,Universal,Universal Studio,"$29,197,642 ","$8,407,685 ","2,798"
98,The Switch,Miramax,Miramax,"$27,758,465 ","$8,436,713 ","2,017"
99,Brooklyns Finest,Overture…,Overture Films,"$27,163,593 ","$13,350,299 ","1,939"
100,Machete,20thCent…,20th Century,"$26,593,646 ","$11,416,164 ","2,678"
101,Ramona and Beezus,20thCent…,20th Century,"$26,167,002 ","$7,810,481 ","2,719"
102,Leap Year,Universal,Universal Studio,"$25,918,920 ","$9,202,815 ","2,512"
103,You Again,WaltDisney,Walt Disney,"$25,702,053 ","$8,407,513 ","2,548"
104,Alpha and Omega,Lionsgate,Lionsgate,"$25,107,267 ","$9,106,906 ","2,625"
105,Piranha 3D,Weinstein…,Weinstein Co.,"$25,003,155 ","$10,106,872 ","2,491"
106,Lottery Ticket,WarnerBros.,Warner Bros.,"$24,719,879 ","$10,652,297 ","1,973"
107,The Spy Next Door,Lionsgate,Lionsgate,"$24,307,106 ","$9,726,056 ","2,924"
108,From Paris With Love,Lionsgate,Lionsgate,"$24,077,427 ","$8,158,860 ","2,722"
109,The Losers,WarnerBros.,Warner Bros.,"$23,591,432 ","$9,406,348 ","2,936"
110,Faster,CBSFilms,CBS Films,"$23,240,020 ","$8,523,153 ","2,470"
111,Just Wright,FoxSearc…,Fox Searchlight,"$21,540,363 ","$8,284,989 ","1,831"
112,Skyline,Universal,Universal Studio,"$21,416,355 ","$11,692,415 ","2,883"
113,The Next Three Days,Lionsgate,Lionsgate,"$21,148,651 ","$6,542,779 ","2,564"
114,The Kids Are All Right,FocusFea…,Focus Features,"$20,811,365 ","$491,971 ",994
115,Our Family Wedding,FoxSearc…,Fox Searchlight,"$20,255,281 ","$7,629,862 ","1,609"
116,Country Strong,SonyPict…,Sony Pictures,"$20,218,921 ","$30,452 ","1,441"
117,Oceans,WaltDisney,Walt Disney,"$19,422,319 ","$6,058,958 ","1,232"
118,Remember Me,SummitEn…,Summit Entertainment,"$19,068,240 ","$8,089,139 ","2,215"
119,127 Hours,FoxSearc…,Fox Searchlight,"$18,335,230 ","$264,851 ",916
120,Going the Distance,WarnerBros.,Warner Bros.,"$17,804,299 ","$6,884,964 ","3,030"
121,Furry Vengeance,SummitEn…,Summit Entertainment,"$17,630,465 ","$6,627,564 ","3,002"
122,Splice,WarnerBros.,Warner Bros.,"$17,010,170 ","$7,385,277 ","2,450"
123,The Ghost Writer,SummitEn…,Summit Entertainment,"$15,541,549 ","$183,009 ",819
124,Youth in Revolt,Weinstein…,Weinstein Co.,"$15,285,588 ","$6,888,334 ","1,873"
125,My Soul to Take,Universal,Universal Studio,"$14,744,435 ","$6,842,220 ","2,572"
126,Repo Men,Universal,Universal Studio,"$13,942,007 ","$6,126,170 ","2,521"
127,Case 39,Paramount…,Paramount Pictures,"$13,261,851 ","$5,350,570 ","2,212"
128,Extraordinary Measures,CBSFilms,CBS Films,"$12,482,741 ","$6,012,594 ","2,549"
129,Let Me In,Overture…,Overture Films,"$12,134,935 ","$5,147,479 ","2,042"
130,Jonah Hex,WarnerBros.,Warner Bros.,"$10,547,117 ","$5,379,365 ","2,825"
131,Blue Valentine,Weinstein…,Weinstein Co.,"$9,737,892 ","$193,728 ",450
132,Fair*Game,SummitEn…,Summit Entertainment,"$9,540,691 ","$651,082 ",436
133,Get Low,SonyPict…,Sony Pictures,"$9,176,933 ","$88,182 ",570
134,MacGruber,Universal,Universal Studio,"$8,525,600 ","$4,043,495 ","2,551"
135,Cyrus,FoxSearc…,Fox Searchlight,"$7,468,936 ","$181,716 ",454
136,Babies,FocusFea…,Focus Features,"$7,320,323 ","$2,161,460 ",543
137,Incendies,Micro_Scope,Micro_Scope,"$6,857,096 ",$0 ,90
138,Conviction,FoxSearc…,Fox Searchlight,"$6,797,696 ","$102,351 ",672
139,City Island,AnchorBa…,Anchor Bay Entertainment,"$6,671,283 ","$32,001 ",269
140,The Last Station,SonyPict…,Sony Pictures,"$6,617,867 ","$73,723 ",354
141,Winter's Bone,Roadside…,Roadside Attractions,"$6,531,503 ","$84,797 ",141
142,Waiting for Superman,Paramount…,Paramount Pictures,"$6,417,135 ","$139,033 ",330
143,El secreto de sus ojos,SonyPict…,Sony Pictures,"$6,391,436 ","$167,866 ",166
144,Its Kind of a Funny Story,FocusFea…,Focus Features,"$6,363,628 ","$2,013,406 ",757
145,Sea Rex 3D: Journey to a Prehistoric World,3DEntert…,3D Entertainment,"$6,096,582 ",$0 ,45
146,The Warriors Way,Relativity,Relativity,"$5,666,340 ","$3,048,665 ","1,622"
147,Luftslottet som sprängdes,Alliance…,Alliance Atlantis,"$5,427,684 ","$251,778 ",203
148,The Wildest Dream,National…,National Geographic Entertainment,"$5,100,135 ",$0 ,21
149,Io sono l'amore,Magnolia…,Magnolia Pictures,"$5,005,465 ","$121,504 ",166
150,Maos Last Dancer,SamuelGo…,Samuel Goldwyn Films,"$4,806,750 ","$199,657 ",137
151,Solitary Man,AnchorBa…,Anchor Bay Entertainment,"$4,360,548 ","$94,936 ",177
152,Inside Job,SonyPict…,Sony Pictures,"$4,311,834 ","$39,649 ",250
153,Greenberg,FocusFea…,Focus Features,"$4,234,170 ","$118,152 ",186
154,My Name is Khan,FoxSearc…,Fox Searchlight,"$4,046,336 ","$1,944,027 ",125
155,Please Give,SonyPict…,Sony Pictures,"$4,033,574 ","$118,123 ",272
156,To Save a Life,SamuelGo…,Samuel Goldwyn Films,"$3,777,210 ","$1,513,955 ",441
157,The Runaways,Apparition,Apparition,"$3,573,673 ","$805,115 ",244
158,Exit Through the Gift Shop,Producers…,Producers Distribution Energy,"$3,291,250 ","$170,756 ",46
159,You Will Meet a Tall Dark Stranger,SonyPict…,Sony Pictures,"$3,247,816 ","$160,103 ",402
160,Catfish,Universal,Universal Studio,"$3,237,343 ","$257,285 ",143
161,Another Year,SonyPict…,Sony Pictures,"$3,205,706 ","$111,869 ",236
162,Chloe,SonyPict…,Sony Pictures,"$3,075,255 ","$900,688 ",350
163,Joan Rivers: A Piece of Work,IFCFilms,IFC Films,"$2,930,687 ","$164,351 ",115
164,Letters to God,VivendiE…,Vivendi Entertainment,"$2,848,587 ","$1,101,204 ",897
165,N-Secure,Freestyle…,Freestyle Releasing,"$2,595,644 ","$1,166,406 ",486
166,Never Let Me Go,FoxSearc…,Fox Searchlight,"$2,434,652 ","$111,734 ",232
167,The Twilight Saga: Twilight/New Moon Combo,SummitEn…,Summit Entertainment,"$2,385,237 ",$0 ,"2,037"
168,Robot,B4UMovies,B4U Movies,"$2,276,427 ","$2,158,635 ",100
169,Lillusionniste,SonyPict…,Sony Pictures,"$2,231,474 ","$38,594 ",206
170,Rabbit Hole,Lionsgate,Lionsgate,"$2,229,058 ","$53,778 ",131
171,Un Prophète,SonyPict…,Sony Pictures,"$2,087,720 ","$163,773 ",83
172,Casino Jack,SamuelGo…,Samuel Goldwyn Films,"$2,039,869 ","$34,528 ",60
173,"I Love You, Phillip Morris",Roadside…,Roadside Attractions,"$2,037,459 ","$112,712 ",100
174,Harry Brown,Samuel Goldwyn Films,Samuel Goldwyn Films,"$1,818,681 ","$173,353 ",67
175,Stone,Monterey…,Monterey Media,"$1,810,078 ","$75,766 ",125
176,Somewhere,Phase4F…,Phase 4 Films,"$1,785,645 ","$119,086 ",83
177,Flipped,"ItsEstherBlueburger""",Its Esther Blueburger,"$1,755,212 ","$224,233 ",442
178,Coco Chanel and Igor Stravinsky,SonyPict…,Sony Pictures,"$1,725,982 ","$44,454 ",74
179,Kites,BigPictures,Big Pictures,"$1,685,269 ","$959,329 ",217
180,Cairo Time,IFCFilms,IFC Films,"$1,603,616 ","$66,245 ",76
181,Raajneeti,UTVCommu…,UTV Communications,"$1,514,557 ","$850,244 ",124
182,The Joneses,Roadside…,Roadside Attractions,"$1,475,746 ","$507,082 ",217
183,Nowhere Boy,Weinstein…,Weinstein Co.,"$1,445,366 ","$52,749 ",215
184,Restrepo,National…,National Geographic Entertainment,"$1,330,894 ","$35,581 ",52
185,Dabangg,ErosEnte…,Eros Entertainment,"$1,288,549 ","$628,137 ",68
186,Micmacs,SonyPict…,Sony Pictures,"$1,259,693 ","$42,751 ",52
187,Housefull,ErosEnte…,Eros Entertainment,"$1,183,658 ","$642,156 ",82
188,Golmaal 3,ErosEnte…,Eros Entertainment,"$1,132,192 ","$626,432 ",86
189,Mother and Child,SonyPict…,Sony Pictures,"$1,110,509 ","$43,040 ",119
190,Made in Dagenham,SonyPict…,Sony Pictures,"$1,095,369 ","$37,563 ",89
191,The Perfect Game,Slowhand…,Slowhand Cinema,"$1,089,445 ","$510,000 ",417
192,Tees Maar Khan,UTVCommu…,UTV Communications,"$1,076,266 ","$539,793 ",108
193,La Mission,ScreenMe…,Screen Media Films,"$1,062,941 ","$49,046 ",47
194,Buried,Lionsgate,Lionsgate,"$1,044,143 ","$100,268 ",107
195,Animal Kingdom,SonyPict…,Sony Pictures,"$1,044,039 ","$61,968 ",61
196,Guzaarish,UTVCommu…,UTV Communications,"$1,026,589 ","$488,121 ",108
197,2010 Oscar Shorts,ShortsIn…,Shorts International,"$1,018,169 ","$291,360 ",95
198,Les sept jours du talion,Alliance…,Alliance Atlantis,"$1,011,919 ","$247,511 ",43
199,Le Concert,Weinstein…,Weinstein Co.,"$926,009 ","$21,742 ",21
200,Poema de Salvación,CanZionF…,CanZion Films,"$915,502 ","$17,151 ",30
201,Princess Kaiulani,Roadside…,Roadside Attractions,"$883,887 ","$186,995 ",47
202,Anjaana Anjaani,ErosEnte…,Eros Entertainment,"$854,757 ","$517,608 ",91
203,I Hate Luv Storys,UTVCommu…,UTV Communications,"$847,993 ","$375,297 ",84
204,Le hérisson,NeoClassics Films,NeoClassics Films,"$828,801 ","$34,477 ",38
205,What If...,Five&Tw…,Five & Two Pictures,"$814,906 ","$49,770 ",82
206,The Tillman Story,Weinstein…,Weinstein Co.,"$798,940 ","$52,185 ",28
207,Lenfant prodige,Alliance Communications,Alliance Communications,"$773,615 ",$0 ,5
208,Peepli Live,UTVCommu…,UTV Communications,"$754,836 ","$350,054 ",70
209,Middle Men,Paramount…,Paramount Pictures,"$754,301 ","$325,641 ",252
210,North Face,MusicBox…,Music Box Films,"$711,421 ","$23,050 ",34
211,Raavan,BigPictures,Big Pictures,"$708,726 ","$482,760 ",120
212,The Secret of Kells,GKIDS,GKIDS,"$690,290 ","$39,826 ",37
213,Pranzo di ferragosto,Zeitgeist,Zeitgeist,"$675,299 ","$13,090 ",23
214,We Are Family,UTVCommu…,UTV Communications,"$638,144 ","$297,907 ",78
215,The Virginity Hit,SonyPict…,Sony Pictures,"$636,706 ","$301,885 ",700
216,Ajami,KinoInte…,Kino International,"$621,859 ","$35,792 ",23
217,Agora,Newmarket…,Newmarket Films,"$619,423 ","$33,262 ",17
218,Vincere,IFCFilms,IFC Films,"$619,162 ","$18,096 ",36
219,Howl,Oscillosc…,Oscilloscope Pictures,"$617,334 ","$51,185 ",29
220,Racing Dreams,Hannover…,Hannover House,"$615,028 ","$20,048 ",33
221,All Good Things,Magnolia…,Magnolia Pictures,"$582,024 ","$37,172 ",35
222,Les amours imaginaires,Alliance…,Alliance Atlantis,"$578,493 ",$0 ,10
223,Tamara Drewe,SonyPict…,Sony Pictures,"$560,391 ","$18,604 ",59
224,Linstinct de mort,MusicBox…,Music Box Films,"$551,697 ","$152,873 ",34
225,Madeo,Magnolia…,Magnolia Pictures,"$551,509 ","$35,858 ",38
226,Ondine,Magnolia…,Magnolia Pictures,"$550,472 ","$27,497 ",39
227,The Art of the Steal,IFCFilms,IFC Films,"$544,890 ","$39,019 ",34
228,Jack Goes Boating,Overture…,Overture Films,"$541,992 ","$28,916 ",90
229,Khatta Meetha,ErosEnte…,Eros Entertainment,"$541,904 ","$309,211 ",83
230,Standing Ovation,RockyMou…,Rocky Mountain Pictures,"$531,806 ","$343,125 ",625
231,Mademoiselle Chambon,LorberFilms,Lorber Films,"$530,491 ",$0 ,13
232,Veer,ErosEnte…,Eros Entertainment,"$527,193 ","$334,562 ",92
233,Preachers Kid,Gener8xio…,Gener8xion Entertainment,"$514,522 ","$190,638 ",109
234,Larnacouer,IFCFilms,IFC Films,"$504,030 ","$52,628 ",43
235,The City of Your Final Destination,HydePark…,Hyde Park Films,"$493,296 ","$24,401 ",25
236,Phish 3D,Cinedigm,Cinedigm,"$485,913 ",$0 ,217
237,Gunless,Alliance Communications,Alliance Communications,"$458,054 ",$0 ,143
238,The Most Dangerous Man in America: Daniel Ellsb…,FirstRun…,First Run Features,"$453,650 ","$1,114 ",12
239,The Extra Man,Magnolia…,Magnolia Pictures,"$453,377 ","$18,861 ",33
240,The Trotsky,Bleiberg Entertainment,Bleiberg Entertainment,"$440,008 ","$101,298 ",34
241,Vision,Zeitgeist,Zeitgeist,"$435,274 ","$11,406 ",17
242,I Want Your Money,Freestyle…,Freestyle Releasing,"$433,588 ","$249,428 ",537
243,Break Ke Baad,Reliance…,Reliance Big Pictures,"$427,628 ","$194,737 ",85
244,Action Replayy,VivaEnte…,Viva Entertainment,"$410,262 ",$0 ,140
245,Im Still Here,Magnolia…,Magnolia Pictures,"$408,983 ","$96,658 ",120
246,The Square,Apparition,Apparition,"$406,216 ","$17,092 ",24
247,Les herbes folles,SonyPict…,Sony Pictures,"$403,952 ","$39,162 ",23
248,Tiny Furniture,IFCFilms,IFC Films,"$391,674 ","$21,235 ",21
250,Fish Tank,IFCFilms,IFC Films,"$374,675 ","$25,854 ",15
251,Lebanon,SonyPict…,Sony Pictures,"$368,088 ","$17,145 ",23
252,Like Dandelion Dust,SelfDist…,Self Distributed,"$352,810 ","$77,960 ",60
253,Arthur and the War of Two Worlds,EuropaCorp,Europa Corp,"$347,136 ",$0 ,0
254,Creation,Newmarket…,Newmarket Films,"$341,323 ","$53,073 ",12
255,Enter the Void,IFCFilms,IFC Films,"$337,997 ","$43,651 ",13
256,Kings of Pastry,FirstRun…,First Run Features,"$336,386 ","$15,162 ",10
257,A Film Unfinished,Oscillosc…,Oscilloscope Pictures,"$320,486 ","$34,060 ",16
258,The Yellow Handkerchief,SamuelGo…,Samuel Goldwyn Films,"$318,623 ","$37,296 ",29
259,Todays Special,Reliance…,Reliance Big Pictures,"$317,831 ","$90,639 ",55
260,Four Lions,Drafthous…,Drafthouse Films,"$310,007 ","$41,512 ",18
261,White Material,IFCFilms,IFC Films,"$304,020 ","$34,613 ",21
262,Holy Rollers,FirstInd…,First Independent Pictures,"$303,064 ","$39,685 ",20
263,Once Upon a Time in Mumbai,VivaEnte…,Viva Entertainment,"$302,862 ","$155,510 ",32
264,Aisha,VivaEnte…,Viva Entertainment,"$298,431 ","$163,629 ",47
265,Last Train Home,Zeitgeist,Zeitgeist,"$288,328 ","$20,418 ",14
266,Karthik Calling Karthik,ErosEnte…,Eros Entertainment,"$286,409 ","$179,643 ",70
267,No Problem,ErosEnte…,Eros Entertainment,"$285,468 ","$242,116 ",84
268,Life During Wartime,IFCFilms,IFC Films,"$281,447 ","$30,507 ",20
269,The Tempest,Miramax,Miramax,"$277,943 ","$42,436 ",21
270,Soul Kitchen,IFCFilms,IFC Films,"$276,901 ","$20,916 ",23
271,Lennemi public n°1,MusicBox…,Music Box Films,"$275,387 ","$74,449 ",31
272,Countdown to Zero,Magnolia…,Magnolia Pictures,"$272,040 ","$41,307 ",28
273,Breath Made Visible,ArgotPic…,Argot Pictures,"$267,281 ","$8,426 ",3
274,Jean-Michel Basquiat: The Radiant Child,Arthouse…,Arthouse Films,"$256,242 ","$17,466 ",7
276,My Dog Tulip,NewYorker,New Yorker,"$246,574 ","$11,550 ",5
277,Frozen,AnchorBa…,Anchor Bay Entertainment,"$246,177 ","$131,395 ",106
278,When Youre Strange: A Film About The Doors,Abramoram…,Abramorama Films,"$246,078 ","$66,833 ",8
279,Queen of the Sun,Collectiv…,Collective Eye,"$244,995 ","$9,068 ",10
280,Monsters,MagnetPi…,Magnet Pictures,"$237,301 ","$20,508 ",25
281,Rare Exports: A Christmas Tale,Oscillosc…,Oscilloscope Pictures,"$236,347 ","$9,281 ",21
282,Atithi Tum Kab Jaoge?,VivaEnte…,Viva Entertainment,"$235,847 ","$101,226 ",40
283,Formosa Betrayed,ScreenMe…,Screen Media Films,"$225,341 ","$77,326 ",16
284,The Killer Inside Me,IFCFilms,IFC Films,"$217,277 ","$11,083 ",17
285,Winston Churchill: Walking with Destiny,MoriahFilms,Moriah Films,"$212,601 ",$0 ,4
286,La Soga,7-57Rele…,7-57 Releasing,"$210,625 ","$52,554 ",20
287,Hausu,JanusFilms,Janus Films,"$210,400 ","$12,032 ",4
288,La fille du RER,Strand,Strand,"$208,163 ","$19,154 ",10
289,Sweetgrass,CinemaGuild,Cinema Guild,"$207,473 ",$0 ,9
290,Chain Letter,NewFilms…,New Films Cinema,"$205,842 ","$138,788 ",406
292,Women Without Men,IndiePix Films,IndiePix Films,"$200,899 ","$14,404 ",5
293,Legendary,SamuelGo…,Samuel Goldwyn Films,"$200,393 ","$126,964 ",177
294,South of the Border,CinemaLibre,Cinema Libre,"$198,600 ","$21,545 ",10
295,The Nutcracker in 3D,Freestyle…,Freestyle Releasing,"$195,459 ","$65,944 ",115
296,San qiang pai an jing qi,SonyPict…,Sony Pictures,"$190,946 ","$27,330 ",43
297,Client 9: The Rise and Fall of Eliot Spitzer,Magnolia…,Magnolia Pictures,"$189,416 ","$16,962 ",17
298,Waste Land,Arthouse…,Arthouse Films,"$187,716 ","$9,806 ",8
299,Partir,IFCFilms,IFC Films,"$187,090 ","$12,697 ",13
300,Twelve,Hannover…,Hannover House,"$183,920 ","$110,238 ",231
301,Fei Cheng Wu Rao 2,ChinaLio…,China Lion Film Distribution,"$182,517 ","$182,517 ",20
302,The Human Centipede,IFCFilms,IFC Films,"$181,467 ","$12,424 ",19
303,Winnebago Man,KinoInte…,Kino International,"$181,039 ","$16,469 ",11
304,Queen of the Lot,RainbowR…,Rainbow Releasing,"$178,308 ","$22,726 ",6
305,Casino Jack and the United States of Money,Magnolia…,Magnolia Pictures,"$176,865 ","$28,234 ",21
306,Frygtelig Lykkelig,Oscillosc…,Oscilloscope Pictures,"$170,943 ","$11,650 ",9
307,Chance Pe Dance,UTVCommu…,UTV Communications,"$168,643 ","$117,917 ",68
